"","BUSINESS_DATE","sales","visits","weekday","NET_COST","FORMAT.15 secondi","FORMAT.20 secondi","FORMAT.30 secondi","NETWORK.Area News-Radio Margherita-Kiss Kiss Italia","NETWORK.CNR Radio FM","NETWORK.R101","NETWORK.Radio 105 Network","NETWORK.Radio Deejay Network","NETWORK.Radio Dimensione Suono Network","NETWORK.Radio Italia Solo Musica Italiana","NETWORK.Radio Kiss Kiss Network","NETWORK.Radio Sportiva","NETWORK.Radiodue","NETWORK.Radiouno","NETWORK.RTL 102.5 Hit Radio","NETWORK.Teamradio University","NETWORK.Virgin Radio","trend"
"95","2015-08-17",2381507.82,311701,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
"96","2015-08-18",2201246.47,295444,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
"97","2015-08-19",2445403.07,315458,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
"98","2015-08-20",2157421.53,296196,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
"99","2015-08-21",2300600.92,313925,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
"100","2015-08-22",2572543.64,345375,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"101","2015-08-23",2517698.94,325949,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
"102","2015-08-24",2190942.71,298400,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
"103","2015-08-25",2017139.87,290507,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
"104","2015-08-26",1971085.19,285865,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
"105","2015-08-27",2114482.7,300033,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
"106","2015-08-28",2362329.2,330403,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
"107","2015-08-29",2849378.85,381499,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
"108","2015-08-30",2690080.27,350410,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
"109","2015-08-31",2169109.38,307976,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
"110","2015-09-01",2173661.38,311042,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
"111","2015-09-02",2277501.3,322331,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
"112","2015-09-03",2311591.21,328476,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
"113","2015-09-04",2639550.44,363187,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
"114","2015-09-05",3349079.04,432006,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
"115","2015-09-06",3067420.89,387799,"Sunday",42500,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115
"116","2015-09-07",2214567.62,320709,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
"117","2015-09-08",2256610.46,324578,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
"118","2015-09-09",2288193.19,322560,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
"119","2015-09-10",2413817.44,340910,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
"120","2015-09-11",2773855.63,380657,"Friday",8666.84,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,120
"121","2015-09-12",3364700.13,436067,"Saturday",8666.84,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,121
"122","2015-09-13",3023011.45,380951,"Sunday",9443.72,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,122
"123","2015-09-14",2202870.51,318068,"Monday",9617.12,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,123
"124","2015-09-15",2010627.92,300993,"Tuesday",9617.12,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,124
"125","2015-09-16",1992772.54,299949,"Wednesday",9572.92,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,125
"126","2015-09-17",1987262.08,301809,"Thursday",9678.32,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,126
"127","2015-09-18",2489570.72,358390,"Friday",9661.32,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,127
